step,K,U,E
203,0.0000833932,-0.0373599313,-0.0372765381
204,0.0000842152,-0.0373599313,-0.0372757161
205,0.0000850412,-0.0373609985,-0.0372759573
206,0.0000858713,-0.0373614530,-0.0372755817
207,0.0000867055,-0.0373624158,-0.0372757103
208,0.0000875437,-0.0373625038,-0.0372749601
209,0.0000883860,-0.0373644443,-0.0372760583
210,0.0000892324,-0.0373653886,-0.0372761562
211,0.0000900828,-0.0373654929,-0.0372754101
212,0.0000909373,-0.0373665417,-0.0372756044
213,0.0000917959,-0.0373667503,-0.0372749545
214,0.0000926585,-0.0373692366,-0.0372765781
215,0.0000935253,-0.0373697078,-0.0372761825
216,0.0000943961,-0.0373698861,-0.0372754901
217,0.0000952709,-0.0373709124,-0.0372756415
218,0.0000961499,-0.0373709365,-0.0372747866
219,0.0000970329,-0.0373736345,-0.0372766017
220,0.0000979200,-0.0373738188,-0.0372758988
221,0.0000988112,-0.0373749778,-0.0372761666
222,0.0000997065,-0.0373750644,-0.0372753580
223,0.0001006058,-0.0373754039,-0.0372747981
224,0.0001015092,-0.0373780438,-0.0372765346
225,0.0001024167,-0.0373781336,-0.0372757169
226,0.0001033283,-0.0373791817,-0.0372758535
227,0.0001042439,-0.0373792645,-0.0372750206
228,0.0001051636,-0.0373803132,-0.0372751495
229,0.0001060875,-0.0373820955,-0.0372760081
230,0.0001070154,-0.0373832453,-0.0372762299
231,0.0001079474,-0.0373834978,-0.0372755504
232,0.0001088835,-0.0373847025,-0.0372758190
233,0.0001098236,-0.0373849078,-0.0372750842
234,0.0001107679,-0.0373875444,-0.0372767765
235,0.0001117163,-0.0373876944,-0.0372759781
236,0.0001126687,-0.0373887281,-0.0372760594
237,0.0001136252,-0.0373887281,-0.0372751029
238,0.0001145858,-0.0373896508,-0.0372750650
239,0.0001155505,-0.0373919604,-0.0372764099
240,0.0001165193,-0.0373920719,-0.0372755526
241,0.0001174922,-0.0373930163,-0.0372755241
242,0.0001184691,-0.0373931057,-0.0372746366
243,0.0001194502,-0.0373960448,-0.0372765945
244,0.0001204354,-0.0373962252,-0.0372757898
245,0.0001214247,-0.0373972706,-0.0372758459
246,0.0001224180,-0.0373976128,-0.0372751948
247,0.0001234155,-0.0373987567,-0.0372753413
248,0.0001244170,-0.0374005202,-0.0372761032
249,0.0001254227,-0.0374014948,-0.0372760721
250,0.0001264324,-0.0374016232,-0.0372751908
251,0.0001274463,-0.0374027306,-0.0372752843
252,0.0001284642,-0.0374045136,-0.0372760494
253,0.0001294863,-0.0374054543,-0.0372759680
254,0.0001305125,-0.0374059726,-0.0372754601
255,0.0001315427,-0.0374070334,-0.0372754907
256,0.0001325771,-0.0374071228,-0.0372745457
257,0.0001336156,-0.0374098337,-0.0372762181
258,0.0001346582,-0.0374109049,-0.0372762468
259,0.0001357049,-0.0374110155,-0.0372753106
260,0.0001367557,-0.0374121356,-0.0372753799
261,0.0001378106,-0.0374141860,-0.0372763753
262,0.0001388697,-0.0374151546,-0.0372762849
263,0.0001399328,-0.0374154528,-0.0372755200
264,0.0001410001,-0.0374167069,-0.0372757068
